Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso_link,-0.000736126189085237,-1.72251877519347E-05,9.8768329506848E-05,0,0,0,2.99710872609609,0.00437980864562948,-3.84604566302649E-08,-6.89975946715173E-08,0.0107359870662536,4.61648347490341E-07,0.0128759281709884,0,0,0,0,0,0,package://svan_urdf_package/meshes/torso_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/torso_link.STL,,Assem1-2,torso_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_abd_l,0.0431354666865266,-0.0619037967425595,-1.28783333823018E-05,0,0,0,0.547089526327116,0.000195963974362415,6.55731584977151E-06,8.03607942102591E-10,0.000300416287485921,-1.87450618305707E-08,0.000205685414875868,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_abd_l.STL,,abductionlink-1,fr_abd_cord,fr_abd_a,fr_abd_j,revolute,0.20368,-0.06,0,0,0,0,torso_link,-1,0,0,100,100,-3,3,,,,,,,,
fr_hip_l,0.00165916788705489,0.00999999412640479,-0.0713157899491978,0,0,0,0.147108571121328,0.000309578662803665,3.78430545648715E-11,6.9914225906236E-06,0.000329310052837933,6.78580350895923E-11,2.13859904286806E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_hip_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_hip_l.STL,,hip_link-4,fr_hip_cord,fr_hip_a,fr_hip_j,revolute,0.043,-0.07525,0,0,0,0,fr_abd_l,0,1,0,100,100,-3,3,,,,,,,,
fr_knee_l,0.00288556341815482,1.5445513158463E-06,-0.0756253134355262,0,0,0,0.122422228142348,9.45801447821519E-05,-2.61144960906036E-09,6.78248943065743E-06,0.00011005271843826,-5.2727542858242E-09,2.0670821626861E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_knee_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_knee_l.STL,,knee_link2-4,fr_knee_cord,fr_knee_a,fr_knee_j,revolute,0.0041389,0.01,-0.16494,0,0,0,fr_hip_l,0,1,0,100,100,-3,3,,,,,,,,
fr_dummy_l,0.00149999142621271,3.05311331771918E-15,5.0716157441455E-06,0,0,0,9.42477796076937E-06,4.71244285092067E-12,-3.43878520170761E-27,-1.59328596951608E-14,9.42477796076933E-12,-2.01948391735052E-28,9.42472409023335E-12,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_dummy_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fr_dummy_l.STL,,dummy_link-2,fr_dummy_cord,fr_dummy_a,fr_dummy_j,fixed,-0.026457,0,-0.16693,0,0,0,fr_knee_l,0,0,0,,,,,,,,,,,,
fl_abd_l,0.0431354666865253,0.0619037967425567,1.28783333771046E-05,0,0,0,0.547089526327068,0.000195963974362192,-6.55731584978387E-06,-8.03607962880309E-10,0.000300416287485723,-1.87450617909673E-08,0.000205685414875836,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_abd_l.STL,,abductionlink-2,fl_abd_cord,fl_abd_a,fl_abd_j,revolute,0.20368,0.06,0,0,0,0,torso_link,-1,0,0,100,100,-3,3,,,,,,,,
fl_hip_l,0.0016591678870552,-0.0100000058735955,-0.0713157899491955,0,0,0,0.147108571121327,0.000309578662803818,3.78430545549379E-11,6.99142259045296E-06,0.000329310052838139,6.78580349989196E-11,2.13859904287332E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_hip_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_hip_l.STL,,hip_link-3,fl_hip_cord,fl_hip_a,fl_hip_j,revolute,0.043,0.07525,0,0,0,0,fl_abd_l,0,1,0,100,100,-3,3,,,,,,,,
fl_knee_a,0.00288556341815421,1.54455131551323E-06,-0.0756253134355257,0,0,0,0.122422228142348,9.45801447821233E-05,-2.61144960908792E-09,6.78248943063961E-06,0.000110052718438119,-5.27275428583716E-09,2.0670821626749E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_knee_a.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_knee_a.STL,,knee_link2-3,fl_knee_cord,fl_knee_a,fl_knee_j,revolute,0.0041389,-0.01,-0.16494,0,0,0,fl_hip_l,0,1,0,100,100,-3,3,,,,,,,,
fl_dummy_l,0.0014999914262166,2.55351295663786E-15,5.07161574681003E-06,0,0,0,9.42477796076937E-06,4.71244285092067E-12,-1.7027390075873E-27,-1.59328596951634E-14,9.42477796076932E-12,-4.41762106934845E-29,9.42472409023335E-12,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_dummy_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/fl_dummy_l.STL,,dummy_link-1,fl_dummy_cord,f_l_dummy_a,fl_dummy_j,fixed,-0.026618,0,-0.16693,0,0,0,fl_knee_a,0,0,0,,,,,,,,,,,,
rr_abd_l,-0.0408339071979818,-0.0619037967425603,0.000179250427446827,0,0,0,0.547089526327114,0.000195963974362413,-6.63504112736179E-06,8.03607941529097E-10,0.000300416287485919,6.06375583261325E-10,0.000205685414875867,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_abd_l.STL,,abductionlink_rear-1,rr_abd_cord,rr_abd_a,rr_abd_j,revolute,-0.20482,-0.06,0,0,0,0,torso_link,1,0,0,100,100,-3,3,,,,,,,,
rr_hip_l,-0.00165916788705478,0.0100000058735978,-0.0713157899491982,0,0,0,0.147108571121328,0.000309578662803667,3.78430547339955E-11,-6.99142259061868E-06,0.000329310052837923,-6.78580243498918E-11,2.1385990428668E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_hip_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_hip_l.STL,,hip_link-1,rr_hip_cord,rr_hip_a,rr_hip_j,revolute,-0.043,-0.07525,0,0,0,0,rr_abd_l,0,-1,0,100,100,-3,3,,,,,,,,
rr_knee_l,0.00654595759568111,1.5446183047052E-06,-0.0753966327483542,0,0,0,0.122422246876929,9.37491120274394E-05,-2.35343019264926E-09,1.03265117822068E-05,0.000110051537971271,-5.39219781160484E-09,2.15006699644239E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_knee_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_knee_l.STL,,knee_link2-2,rr_knee_cord,rr_knee_a,rr_knee_j,revolute,-0.0038618,0.01,-0.16493,0,0,0,rr_hip_l,0,1,0,100,100,-3,3,,,,,,,,
rr_dummy_l,0.00149798440726828,3.10862446895044E-15,7.7734905568394E-05,0,0,0,9.42477796076944E-06,4.72504481421764E-12,-1.40725882958467E-27,-2.43883254369301E-13,9.42477796076952E-12,-7.74661408927972E-29,9.41212212693661E-12,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_dummy_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rr_dummy_l.STL,,dummy_link-6,rr_dummy_cord,rr_dummy_a,rr_dummy_j,fixed,-0.018339,0,-0.16802,0,0,0,rr_knee_l,0,0,0,,,,,,,,,,,,
rl_abd_l,-0.0408339071979842,0.0619037967425569,-0.000179250427450348,0,0,0,0.547089526327067,0.000195963974362192,6.6350411273486E-06,-8.03607962384451E-10,0.000300416287485722,6.06375623877521E-10,0.000205685414875835,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_abd_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_abd_l.STL,,abductionlink_rear-2,rl_abd_cord,rl_abd_a,rl_abd_j,revolute,-0.20482,0.06,0,0,0,0,torso_link,1,0,0,100,100,-3,3,,,,,,,,
rl_hip_l,-0.00179950691259256,-0.0100000058735954,-0.0713123896470731,0,0,0,0.147108560926126,0.000309580559412878,4.14968005699223E-11,-6.9946474189349E-06,0.00032931216560272,6.56222779612308E-11,2.13861970709628E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_hip_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_hip_l.STL,,hip_link-2,rl_hip_cord,rl_hip_a,rl_hip_j,revolute,-0.043,0.07525,0,0,0,0,rl_abd_l,0,1,0,100,100,-3,3,,,,,,,,
rl_knee_l,0.00654594639576345,1.54461741741496E-06,-0.0753966803284335,0,0,0,0.122422317176859,9.3749108734946E-05,-2.3534371458569E-09,1.03265058974487E-05,0.000110051571045759,-5.39219909611954E-09,2.15007107251529E-05,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_knee_l.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_knee_l.STL,,knee_link2-1,rl_knee_cord,rl_knee_a,rl_knee_j,revolute,-0.0038618,-0.01,-0.16493,0,0,0,rl_hip_l,0,1,0,100,100,-3,3,,,,,,,,
rl_dummy_l,0.0014979844072685,1.99840144432528E-15,7.77349055681165E-05,0,0,0,9.42477796076945E-06,4.72504481421764E-12,-2.75052131823419E-27,-2.43883254369304E-13,9.42477796076952E-12,2.68212707776922E-29,9.41212212693661E-12,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_dummy_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://svan_urdf_package/meshes/rl_dummy_l.STL,,dummy_link-4,rl_dummy_cord,rl_dummy_a,rl_dummy_j,fixed,-0.0185,0,-0.16802,0,0,0,rl_knee_l,0,0,0,,,,,,,,,,,,
